Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,24,TOR,7,0,20.7,3.0,6.9,.438,0.3,1.7,.167,2.7,5.1,.528,.458,0.9,1.0,.857,1.7,4.9,6.6,1.6,0.4,0.4,1.4,2.0,7.1
Bam Adebayo,C,26,MIA,12,12,34.8,8.3,15.6,.535,0.1,0.2,.500,8.3,15.4,.535,.537,6.1,7.3,.830,2.2,8.0,10.2,3.9,1.3,1.2,2.8,2.3,22.8
Ochai Agbaji,SG,23,UTA,12,4,17.8,1.8,4.3,.423,1.0,2.6,.387,0.8,1.8,.476,.538,0.2,0.3,.500,0.9,2.0,2.9,0.9,0.3,0.8,0.6,1.4,4.8
Santi Aldama,PF,23,MEM,6,0,23.5,5.0,10.5,.476,1.5,4.2,.360,3.5,6.3,.553,.548,1.0,2.0,.500,0.8,4.7,5.5,2.0,0.5,0.8,1.8,1.3,12.5
Nickeil Alexander-Walker,SG,25,MIN,12,2,19.7,2.1,5.0,.417,1.1,3.1,.351,1.0,1.9,.522,.525,0.2,0.5,.333,0.1,1.7,1.8,2.4,0.8,0.8,1.0,1.5,5.4
Grayson Allen,SG,28,PHO,12,12,30.9,4.3,9.1,.468,2.7,5.4,.492,1.6,3.7,.432,.615,1.0,1.0,1.000,1.0,3.8,4.8,2.7,0.4,0.4,1.7,2.3,12.2
Jarrett Allen,C,25,CLE,7,7,26.7,3.9,6.0,.643,0.0,0.0,,3.9,6.0,.643,.643,3.9,5.0,.771,2.9,4.6,7.4,1.7,0.4,1.6,1.7,2.1,11.6
Kyle Anderson,PF,30,MIN,12,0,24.9,3.1,5.7,.544,0.2,0.8,.200,2.9,4.8,.603,.559,1.2,1.8,.636,0.8,3.1,3.8,4.1,1.1,0.8,1.8,1.4,7.5
Giannis Antetokounmpo,PF,29,MIL,12,12,32.6,11.2,18.8,.596,0.6,2.3,.259,10.6,16.5,.641,.611,6.3,10.0,.633,2.1,7.8,9.9,4.3,1.0,1.2,4.2,3.1,29.3
Thanasis Antetokounmpo,PF,31,MIL,5,0,7.8,0.6,1.6,.375,0.0,0.0,,0.6,1.6,.375,.375,0.0,0.0,,0.4,0.0,0.4,0.8,0.2,0.2,0.8,1.4,1.2
Cole Anthony,PG,23,ORL,12,0,24.8,4.1,10.0,.408,1.4,4.1,.347,2.7,5.9,.451,.479,3.7,4.4,.830,1.0,3.5,4.5,3.1,0.8,0.3,2.3,2.6,13.3
OG Anunoby,SF,26,TOR,8,8,31.4,6.3,12.3,.510,2.8,7.0,.393,3.5,5.3,.667,.622,1.1,1.9,.600,0.6,3.4,4.0,1.8,1.3,0.6,1.6,2.3,16.4
Ryan Arcidiacono,PG,29,NYK,4,0,2.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Deni Avdija,SF,23,WAS,12,12,27.3,5.3,9.9,.529,1.3,3.2,.421,3.9,6.8,.580,.597,1.3,1.7,.800,1.3,4.3,5.6,3.8,1.3,0.3,1.7,2.6,13.2
Deandre Ayton,C,25,POR,12,12,32.0,5.9,10.6,.559,0.0,0.0,,5.9,10.6,.559,.559,0.5,0.6,.857,3.2,8.3,11.5,1.3,1.5,0.8,2.0,3.0,12.3
Udoka Azubuike,C,24,PHO,2,0,4.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0
